,subject,relation,object,subject_type,object_type
0,Excerpts:.The motion teaser,got,rave reviews,NOUN_CHUNK,NOUN_CHUNK
1,real musician,classify,songs,NOUN_CHUNK,NOUN_CHUNK
2,melody,means,tune,NOUN_CHUNK,NOUN_CHUNK
3,Azhudha oru maadhiriyana pattu podanum,broke,grammar,NOUN_CHUNK,NOUN_CHUNK
4,different directors,helm,different sequences,NOUN_CHUNK,NOUN_CHUNK
5,parent,have,money,NOUN_CHUNK,NOUN_CHUNK
6,Girly,had,oodles,NOUN_CHUNK,NOUN_CHUNK
7,song,strikes,chord,NOUN_CHUNK,NOUN_CHUNK
8,Parvathii,play,important roles,PERSON,NOUN_CHUNK
9,experience,offered,unique experience,NOUN_CHUNK,NOUN_CHUNK
10,technology,progressed,lot,NOUN_CHUNK,NOUN_CHUNK
11,guests,glammed up,affair,NOUN_CHUNK,NOUN_CHUNK
12,Actress-artist-activist Samyukta Hornad,had,intimate launch,PERSON,NOUN_CHUNK
13,parent,have,money,NOUN_CHUNK,NOUN_CHUNK
14,guests,glammed up,affair,NOUN_CHUNK,NOUN_CHUNK
15,fresh water life,includes,arowana fish,NOUN_CHUNK,NOUN_CHUNK
16,new arrivals,triggered,renewed interest,NOUN_CHUNK,NOUN_CHUNK
17,marine life,help,students,NOUN_CHUNK,NOUN_CHUNK
18,Portions,take,viewers,NOUN_CHUNK,NOUN_CHUNK
19,Actress-artist-activist Samyukta Hornad,had,intimate launch,PERSON,NOUN_CHUNK
20,Actress-artist-activist Samyukta Hornad,had,intimate launch,PERSON,NOUN_CHUNK
21,STF,nabbed,duo,ORG,NOUN_CHUNK
22,cops,arrested,cops,NOUN_CHUNK,NOUN_CHUNK
23,Municipal commissioner Tukaram Mundhe,transferred,NMC medical superintendent,PERSON,NOUN_CHUNK
24,Social issues,dominating,state society,NOUN_CHUNK,NOUN_CHUNK
25,civic body,take,Stray animals,NOUN_CHUNK,NOUN_CHUNK
26,Union government,approved,agriculture terminal market project,NOUN_CHUNK,NOUN_CHUNK
27,Union government,delayed,land,NOUN_CHUNK,NOUN_CHUNK
28,farmers,expected to,direct access,NOUN_CHUNK,NOUN_CHUNK
29,agriculture terminal market,have,cleaning grading packing facilities,NOUN_CHUNK,NOUN_CHUNK
30,agriculture terminal market,have,facilities,NOUN_CHUNK,NOUN_CHUNK
31,cases,involve,brain inflammation,NOUN_CHUNK,NOUN_CHUNK
32,early treatment,reduce,duration,NOUN_CHUNK,NOUN_CHUNK
33,total number,touched,14,NOUN_CHUNK,CARDINAL
34,authorities,taking,chances,NOUN_CHUNK,NOUN_CHUNK
35,managers,engage,government security agencies,NOUN_CHUNK,NOUN_CHUNK
36,railway ministry,fill,existing vacancies,NOUN_CHUNK,NOUN_CHUNK
37,private agencies,be,work,NOUN_CHUNK,NOUN_CHUNK
38,new features,added,value,NOUN_CHUNK,NOUN_CHUNK
39,students,forced to,value,NOUN_CHUNK,NOUN_CHUNK
40,16-year old girl,expecting,over 480 marks,NOUN_CHUNK,MONEY
41,District collector K Rajamani,asked,qualified NGOs,PERSON,NOUN_CHUNK
42,Eligible people,send in,Eligible people proposals,NOUN_CHUNK,NOUN_CHUNK
43,officials,raised,objections,NOUN_CHUNK,NOUN_CHUNK
44,parents,sought,intervention,NOUN_CHUNK,NOUN_CHUNK
45,60 schools,following,reservation system,NOUN_CHUNK,NOUN_CHUNK
46,new features,attract,attention,NOUN_CHUNK,NOUN_CHUNK
47,wife R Latha,lost,couple,PERSON,NOUN_CHUNK
48,120 persons,attended,meeting,NOUN_CHUNK,NOUN_CHUNK
49,consultant,preparing,detailed project report,NOUN_CHUNK,NOUN_CHUNK
50,DEOs,have,total control,NOUN_CHUNK,NOUN_CHUNK
51,corrective measures,include,repeated split tests,NOUN_CHUNK,NOUN_CHUNK
52,organisations,staged,demonstrations,NOUN_CHUNK,NOUN_CHUNK
53,DMK MLA K N Nehru,held,meeting,PERSON,NOUN_CHUNK
54,members,conducted,protest meeting,NOUN_CHUNK,NOUN_CHUNK
55,cadre,staged,demonstration,NOUN_CHUNK,NOUN_CHUNK
56,members,arrested by,rail roko,NOUN_CHUNK,NOUN_CHUNK
57,incident,took,place,NOUN_CHUNK,NOUN_CHUNK
58,Tharamaraj,caused,hurt,ORG,NOUN_CHUNK
59,Tamil Nadu government,set up,Justice retd,NOUN_CHUNK,NOUN_CHUNK
60,chief minister O Pannerselvam,formed,Rajeswaran commission,PERSON,NOUN_CHUNK
